Stock_ID,Date,Open,High,Low,Close,Adj Close,Volume,Entity,Code,New Cases,Case Fatality,New Deaths,SMA 30,SMA 90,Signal,Position,Buy,Sell,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,ADX30,ADX14,14high,14low,%K,%D,gain,loss,avg_gain,avg_loss,rs,rsi
50,2019-03-15,361.0199890136719,364.0,358.8900146484375,361.4599914550781,361.4599914550781,8444500,0,0,0.0,0.0,0.0,355.92133280436195,0.0,0,0.0,0.0,0.0,353.23500061035156,354.7449951171875,0.0,0.0,359.4599914550781,53.42688021808237,27.962117981442276,368.0299987792969,342.4700012207031,74.29574353769924,49.03699333080972,2.64,0.0,2.7684880845110804,1.9211784248329402,1.441036422607036,59.03379438591104
51,2019-03-18,362.4700012207031,370.9700012207031,361.8599853515625,363.44000244140625,363.44000244140625,7194700,0,0,0.0,0.0,0.0,356.707666015625,0.0,0,0.0,0.0,0.0,356.7200012207031,354.7449951171875,326.1824951171875,0.0,354.739990234375,52.77589270895345,28.353258861792984,370.9700012207031,342.4700012207031,73.57895165158992,56.77032445667156,1.98,0.0,2.712167507046003,1.78395139448773,1.5203146876234341,60.32241509718122
52,2019-03-19,366.3999938964844,366.9599914550781,356.79998779296875,358.7799987792969,358.7799987792969,7541400,0,0,0.0,0.0,0.0,356.95566609700523,0.0,0,0.0,0.0,0.0,356.7200012207031,356.97999572753906,328.1449966430664,0.0,360.3500061035156,51.93522830744944,27.813023687931686,370.9700012207031,342.4700012207031,57.22806160910088,61.4358634430287,0.0,4.66,2.5184412565427174,1.9893834377386066,1.265940596854223,55.86821643125651
53,2019-03-20,358.9100036621094,375.8999938964844,357.010009765625,375.2200012207031,375.2200012207031,10917200,0,0,0.0,0.0,0.0,357.6026662190755,0.0,0,0.0,0.0,0.0,359.18499755859375,359.18499755859375,332.33499908447266,0.0,377.3399963378906,51.31495924200211,28.175865465797518,375.8999938964844,342.4700012207031,97.96592035668054,67.36267241800292,16.44,0.0,3.512838309646809,1.8472846207572775,1.9016226683069297,65.53652509947165
54,2019-03-21,374.0,379.0,370.6099853515625,377.8699951171875,377.8699951171875,8544000,0,0,0.0,0.0,0.0,358.4586659749349,0.0,0,0.0,0.0,0.0,364.51499938964844,360.73500061035156,339.5374984741211,0.0,381.8900146484375,50.77711089431422,28.771527227813785,379.0,342.4700012207031,96.90663859684298,74.41313687771735,2.65,0.0,3.4512070018148937,1.7153357192746148,2.0119717458424686,66.79915734998724
55,2019-03-22,375.95001220703125,376.42999267578125,360.0400085449219,361.010009765625,361.010009765625,8661300,0,0,0.0,0.0,0.0,359.0019999186198,0.0,0,0.0,0.0,0.0,365.88499450683594,360.73500061035156,341.12750244140625,0.0,374.2300109863281,49.85503149352888,27.71163635209758,379.0,342.4700012207031,50.752831000446946,72.43837771034879,0.0,16.86,3.2046922159709728,2.797097453612142,1.1457206154302801,53.39561018294683
56,2019-03-25,359.0,367.0400085449219,357.44000244140625,366.2300109863281,366.2300109863281,8473800,0,0,0.0,0.0,0.0,359.6240000406901,0.0,0,0.0,0.0,0.0,365.88499450683594,360.73500061035156,342.8500061035156,0.0,368.3299865722656,48.87255667037667,26.385815398940654,379.0,342.4700012207031,65.0424597853828,73.68151521967762,5.22,0.0,3.3486427719730463,2.597304778354132,1.2892760217747816,56.31806778700538
57,2019-03-26,367.8699951171875,368.3800048828125,358.0199890136719,359.9700012207031,359.9700012207031,7666500,0,0,0.0,0.0,0.0,360.0986663818359,0.0,0,0.0,0.0,0.0,367.8999938964844,360.73500061035156,344.8249969482422,0.0,374.8500061035156,47.95388495531642,25.302453531091437,379.0,342.4700012207031,47.905832424823416,69.9115279178382,0.0,6.26,3.1094540025464,2.8589258656145513,1.0876301620636797,52.09879517110097
58,2019-03-27,361.0,362.4700012207031,350.3699951171875,353.3699951171875,353.3699951171875,7852400,0,0,0.0,0.0,0.0,359.8786661783854,0.0,0,0.0,0.0,0.0,364.68499755859375,360.73500061035156,346.6500015258789,0.0,371.8299865722656,46.80446001441594,23.669335621566724,379.0,342.4700012207031,29.8384732020902,63.66288813933824,0.0,6.6,2.887350145221657,3.1261454466420835,0.9236135024757323,48.01450505972336
59,2019-03-28,354.489990234375,355.94000244140625,349.20001220703125,354.6099853515625,354.6099853515625,4361000,0,0,0.0,0.0,0.0,359.97333272298175,0.0,0,0.0,0.0,0.0,364.1000061035156,360.73500061035156,347.50499725341797,0.0,370.5400085449219,45.65506074863242,22.291018996949973,379.0,349.20001220703125,18.154279733657216,58.080919299989155,1.24,0.0,2.7696822777058245,2.902849343310506,0.9541253954802859,48.826211341763994
60,2019-03-29,357.1600036621094,358.25,353.7099914550781,356.55999755859375,356.55999755859375,4705600,0,0,0.0,0.0,0.0,359.88966573079426,0.0,0,0.0,0.0,0.0,364.1000061035156,360.73500061035156,347.50499725341797,0.0,378.80999755859375,44.603177091527606,20.709612015076434,379.0,349.20001220703125,24.69794753841837,47.61406604023741,1.95,0.0,2.7111335435839803,2.6955029616454698,1.005798762665417,50.144549961176345
61,2019-04-01,359.0,368.3299865722656,358.510009765625,366.9599914550781,366.9599914550781,7036100,0,0,0.0,0.0,0.0,360.2259989420573,0.0,0,0.0,0.0,0.0,364.1000061035156,360.73500061035156,349.2074966430664,0.0,379.05999755859375,43.82625169597222,20.362096291875265,379.0,349.20001220703125,59.59727021175931,42.284156270939754,10.4,0.0,3.2603382904708385,2.5029670358136507,1.3025893844466816,56.5706327513404
62,2019-04-02,366.25,368.4200134277344,362.2200012207031,367.7200012207031,367.7200012207031,5158700,0,0,0.0,0.0,0.0,360.41933186848956,0.0,0,0.0,0.0,0.0,364.1000061035156,360.73500061035156,352.0249938964844,0.0,385.0299987792969,43.07725299530043,20.04862314571269,379.0,349.20001220703125,62.14763959749551,43.91198607051812,0.76,0.0,3.0817426982943497,2.3241836761126757,1.3259462795336092,57.00674565018257
63,2019-04-03,369.260009765625,373.4100036621094,366.19000244140625,369.75,369.75,5368900,0,0,0.0,0.0,0.0,360.74733174641926,0.0,0,0.0,0.0,0.0,362.81500244140625,360.73500061035156,352.4774932861328,0.0,378.6700134277344,42.46454515302517,20.260962175259138,379.0,349.20001220703125,68.95971882853415,44.471594505254025,2.03,0.0,3.0066182198447535,2.1581705563903415,1.3931328137816352,58.21376923833169
64,2019-04-04,370.07000732421875,372.04998779296875,362.3999938964844,367.8800048828125,367.8800048828125,4627300,0,0,0.0,0.0,0.0,361.1109985351562,0.0,0,0.0,0.0,0.0,361.3050079345703,360.73500061035156,352.4774932861328,0.0,370.4599914550781,41.7380500379487,19.893973416402304,379.0,349.20001220703125,62.68456485807272,46.582841995718205,0.0,1.87,2.791859775570128,2.137586945219603,1.306080102057935,56.636371862902564
65,2019-04-05,369.0,369.79998779296875,364.6600036621094,365.489990234375,365.489990234375,3905500,0,0,0.0,0.0,0.0,361.1933319091797,0.0,0,0.0,0.0,0.0,361.3050079345703,360.73500061035156,353.86499786376953,0.0,364.3699951171875,41.03577142670812,19.55319814032096,379.0,349.20001220703125,54.66437818872979,50.12939985095244,0.0,2.39,2.5924412201722618,2.1556164491324883,1.2026449423391488,54.60003649348826
66,2019-04-08,365.1099853515625,365.94000244140625,359.92999267578125,361.4100036621094,361.4100036621094,4653800,0,0,0.0,0.0,0.0,361.10999857584636,0.0,0,0.0,0.0,0.0,361.3050079345703,360.73500061035156,353.9649963378906,0.0,362.75,40.19061230687301,18.537590345186754,379.0,349.20001220703125,40.973142472088696,53.38923738501408,0.0,4.08,2.4072668473028145,2.2930724170515964,1.0497997487571926,51.21474667921553
